Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Mean_1,Mean_2,Mean_3,Mean_4,Mean_5,SD_1,SD_2,SD_3,SD_4,SD_5,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
dvdtmax-vrest-max_dv-carest-CaTD50,0.8125,0.6875,0.8125,0.927272727,0.761904762,0.9375,0.8,0.428571429,0.75,0.818181818,0.777777778,0.833333333,4.3999813,2.5714215,4.499979,0.244445368,0.642857545,0.30000084,0.727272727,0.545454545,0.666666667,0.216636652,0.933649289,0.777777778,-7.524541021,14.91087261,-19.16450313,27.29592083,12.78344068,-1.003490133,10.42160124,72.39906799,-88.02084897,-0.298881594,7.48E-05,314.3122396,1.261624597,0.009432504,0.064078571,9.00E-07,14.34918714,1,0.9965,0.689,0.9975,1,0.9855,0.9975,1,1,0.9695,1,1,0.748,0.024,0.988,0.9745,0.0855,0.455,0.9755,1,1,0.685,1,1,1,0.954,0.9315,0.959
dvdtmax-vrest-max_dv-CaTD50-CaTD90,0.8125,0.6875,0.8125,0.927272727,0.761904762,0.916666667,0.6,0.428571429,0.75,0.818181818,0.666666667,0.833333333,4.3999813,2.142853714,4.499979,0.440000616,0.642857545,0.30000084,0.666666667,0.545454545,0.666666667,0.213266045,0.938388626,0.777777778,-10.92204155,15.27604443,-14.80567736,32.12537646,14.99057478,2.822862994,15.59076354,72.39906799,-88.02084897,-0.298881594,314.3122396,747.0841354,1.261624597,0.009432504,0.064078571,14.34918714,29.43244193,1,0.988,0.555,0.9975,1,0.9975,0.998,1,1,0.985,1,1,0.8475,0.0355,0.991,0.976,0.093,0.6315,0.984,1,1,0.728,1,1,1,0.9965,0.7775,0.959
max_dv-camax-carest-CaTD50-CaTD90,0.8125,0.625,0.75,0.927272727,0.698412698,0.822916667,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.92856725,2.999992,0.4000006,0.642857679,0.333334222,0.727272727,0.545454545,0.6,0.246999003,0.91943128,0.777777778,-31.01672358,-8.187245555,-33.72852904,-14.98980726,57.12940055,-28.41616934,120.9957709,-0.298881594,0.000245491,7.48E-05,314.3122396,747.0841354,0.064078571,1.78E-05,9.00E-07,14.34918714,29.43244193,1,1,0.422,1,1,1,0.943,1,0.9305,0.943,0.9965,0.968,0.8745,0,0.924,0.997,0.0205,0.929,0.9755,0.9895,0.9925,0.943,1,1,0.971,0.973,0.163,0.9835
qNet-APD50-APD90-camax-carest,0.8125,0.625,0.75,0.927272727,0.698412698,0.864583333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,6.599938401,1.92856725,2.999992,0.440000616,0.642857679,0.333334222,0.666666667,0.571428571,0.6,0.24257252,0.928909953,0.777777778,-16.54543072,12.53935359,-42.48982223,-71.74555212,67.8347937,23.21590949,-14.22840946,64.09733802,286.8620938,363.9871979,0.000245491,7.48E-05,12.52235177,53.76993945,83.19192952,1.78E-05,9.00E-07,1,0.9985,0.458,1,1,0.9975,0.994,1,0.9615,0.9865,1,0.9975,0.8995,0.003,0.9645,0.9965,0.0335,0.9435,0.9985,0.9995,0.9915,0.804,1,1,1,0.9945,0.1375,0.9865
qNet-APD50-APD90-camax-CaTD50,0.8125,0.625,0.75,0.945454545,0.73015873,0.875,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.92856725,2.999992,0.440000616,0.642857679,0.333334222,0.666666667,0.571428571,0.6,0.232315272,0.928909953,0.777777778,-19.92668865,9.955859053,-39.61280931,-27.04415545,57.57691279,-11.74890227,-18.87816388,64.09733802,286.8620938,363.9871979,0.000245491,314.3122396,12.52235177,53.76993945,83.19192952,1.78E-05,14.34918714,1,0.997,0.442,1,1,0.999,0.996,0.9985,0.9535,0.9895,1,0.9985,0.903,0.003,0.956,0.9995,0.028,0.8845,0.999,1,1,0.7875,1,1,1,0.9995,0.403,0.9875
qNet-APD50-APD90-carest-CaTD50,0.8125,0.625,0.75,0.945454545,0.698412698,0.854166667,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,6.599938401,1.92856725,2.999992,0.4000006,0.642857679,0.333334222,0.727272727,0.571428571,0.6,0.246442728,0.928909953,0.777777778,-20.34299894,10.20202333,-44.40035749,-40.94180866,63.72947733,-7.615043621,-16.16302723,64.09733802,286.8620938,363.9871979,7.48E-05,314.3122396,12.52235177,53.76993945,83.19192952,9.00E-07,14.34918714,1,0.9975,0.4235,1,1,0.999,0.994,1,0.948,0.9895,1,0.999,0.912,0.003,0.9615,0.9985,0.0255,0.945,0.999,0.9995,1,0.8055,1,0.999,1,0.998,0.111,0.99
qNet-APD50-APD90-carest-CaTD90,0.8125,0.625,0.75,0.945454545,0.73015873,0.895833333,0.6,0.428571429,0.75,0.818181818,0.666666667,0.75,5.49997525,1.92856725,2.999992,0.4000006,0.642857679,0.333334222,0.727272727,0.545454545,0.6,0.220887587,0.933649289,0.777777778,-13.64408847,13.38379787,-28.3109185,-50.47342161,53.39272279,6.308445198,3.210605671,64.09733802,286.8620938,363.9871979,7.48E-05,747.0841354,12.52235177,53.76993945,83.19192952,9.00E-07,29.43244193,1,1,0.56,1,1,0.9955,0.9965,1,0.9675,0.984,1,0.997,0.8425,5.00E-04,0.951,0.998,0.033,0.6915,0.998,1,1,0.767,1,1,1,0.9955,0.7285,0.98
qNet-APD50-APD90-CaTD50-CaTD90,0.875,0.6875,0.75,0.945454545,0.714285714,0.854166667,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,2.142853714,2.999992,0.4000006,0.551020985,0.333334222,0.75,0.615384615,0.6,0.250940656,0.924170616,0.777777778,-24.39691425,7.697433703,-44.40350459,-45.26240959,57.4954421,-22.84845823,23.18705144,64.09733802,286.8620938,363.9871979,314.3122396,747.0841354,12.52235177,53.76993945,83.19192952,14.34918714,29.43244193,1,0.997,0.389,1,1,1,0.996,1,0.95,0.992,1,0.999,0.93,0.003,0.957,0.9995,0.027,0.997,0.999,0.9995,0.9865,0.8185,1,1,1,1,0.0045,0.99
qNet-APD50-camax-carest-CaTD50,0.8125,0.625,0.75,0.945454545,0.698412698,0.833333333,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.714283571,2.999992,0.4000006,0.734694219,0.333334222,0.727272727,0.5,0.6,0.248897822,0.91943128,0.777777778,-20.99367496,10.41648803,-35.64500103,37.69206634,-17.72126508,2.982344006,-22.93908631,64.09733802,286.8620938,0.000245491,7.48E-05,314.3122396,12.52235177,53.76993945,1.78E-05,9.00E-07,14.34918714,1,0.997,0.307,1,0.9995,0.9985,0.981,0.996,0.8885,0.9875,0.9965,0.9965,0.9055,0.002,0.9235,1,0.004,0.9045,0.988,1,1,0.8255,1,1,1,0.9975,0.3425,0.9875
qNet-APD50-carest-CaTD50-CaTD90,0.875,0.625,0.75,0.945454545,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.92856725,2.999992,0.4000006,0.642857679,0.333334222,0.75,0.571428571,0.6,0.261385481,0.91943128,0.777777778,-27.97288419,5.893004757,-34.74547659,-17.6031102,21.31915256,-28.25191412,67.62800051,64.09733802,286.8620938,7.48E-05,314.3122396,747.0841354,12.52235177,53.76993945,9.00E-07,14.34918714,29.43244193,1,0.997,0.236,1,1,1,0.986,1,0.923,0.992,0.9965,0.9965,0.9405,0.002,0.9335,1,0.013,1,0.9925,1,0.99,0.861,1,1,1,1,0.003,0.992
