Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Mean_1,Mean_2,Mean_3,SD_1,SD_2,SD_3,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
vmax-max_dv-carest,0.8125,0.625,0.8125,0.963636364,0.857142857,0.9375,1,0.142857143,1,0.727272727,1,0.75,3.666656889,142857.8215,3.999988,1.38E-06,0.857143,1.33E-06,0.769230769,0.25,0.727272727,0.294532106,0.933649289,0.833333333,-1.305612559,3.980246014,10.11768787,8.517242946,-3.190585477,40.81753408,-0.292902106,7.28E-05,1.184759215,0.063732419,3.84E-06,0.9995,1,0.984,0.9985,1,0.915,0.949,1,0.9415,0.432,0.9995,0.1915,0.0815,0.21,0.783,0.9505,0.1615,0.0145,0.974,1,1,1,1,1,1,0.2635,1,0.997
vmax-max_dv-CaTD50,0.8125,0.625,0.8125,0.963636364,0.825396825,0.916666667,1,0.142857143,1,0.727272727,1,0.75,3.666656889,142858.0088,3.999988,1.38E-06,0.857143,1.33E-06,0.769230769,0.25,0.727272727,0.29707613,0.924170616,0.833333333,-1.135504792,4.30456956,8.625433654,6.745372405,2.192943232,40.81753408,-0.292902106,327.3555683,1.184759215,0.063732419,22.17761135,1,1,0.999,0.998,1,0.9125,0.9335,1,0.9465,0.4025,1,0.3315,0.1005,0,0.8195,0.9655,0.109,0.0205,0.9415,1,1,1,1,1,1,0.2745,1,0.9885
vmax-max_dv-CaTD90,0.8125,0.625,0.8125,0.945454545,0.80952381,0.916666667,1,0.142857143,1,0.727272727,1,0.75,3.666656889,142858.0265,3.999988,1.38E-06,0.857143,1.33E-06,0.769230769,0.25,0.727272727,0.284614323,0.924170616,0.833333333,-1.608777911,5.715043482,15.6822041,7.629238584,7.617150626,40.81753408,-0.292902106,768.6720229,1.184759215,0.063732419,46.44521373,1,1,0.999,0.993,1,0.9215,0.889,1,0.936,0.782,0.9985,0.4385,0.143,0,0.7995,0.933,0.106,0.103,0.853,1,1,1,1,1,1,0.554,1,0.962
vmax-vrest-APD90,0.6875,0.5625,0.8125,0.836363636,0.73015873,0.9375,1,0.142857143,0.75,0.545454545,0.888888889,0.833333333,2.19999736,1.285711714,4.499979,1.83E-06,0.964285754,0.30000084,0.666666667,0.222222222,0.666666667,0.32599349,0.91943128,0.666666667,4.189448242,11.45732136,8.237506962,9.532174203,13.82094753,40.81753408,-88.03022061,364.2659437,1.184759215,0.020798121,92.85975461,0.998,0.9935,0.3815,0.9955,1,0.9605,0.9905,1,0.9575,0.7145,0.9985,0.066,0.2055,0,0.7565,0.9825,0.47,0.0335,0.949,1,1,1,1,1,1,0.3295,1,1
vmax-vrest-CaTD50,0.875,0.6875,0.8125,0.945454545,0.746031746,0.895833333,0.8,0.428571429,1,0.909090909,0.888888889,0.75,6.599938401,3.857117143,3.999988,0.244445368,0.642857545,1.33E-06,0.75,0.545454545,0.727272727,0.200727689,0.895734597,0.708333333,0.300180193,5.610713184,-5.491163478,16.85567804,8.983457222,40.79794507,-88.03028897,327.3362708,1.331177912,0.020895704,22.17423484,1,1,1,0.86,1,0.711,0.9945,1,0.997,0.993,1,0.97,0.981,0,0.966,0.712,0,0.4085,0.959,1,1,0.5935,0.9725,1,0.999,0.962,0.943,0.875
vmax-vrest-max_dv,0.6875,0.5625,0.8125,0.927272727,0.825396825,0.958333333,1,0.142857143,0.75,0.545454545,0.888888889,0.833333333,2.19999736,1.285711714,4.499979,1.83E-06,0.964285754,0.30000084,0.666666667,0.222222222,0.666666667,0.305994454,0.943127962,0.708333333,0.816995712,5.686160684,5.057760681,4.241163207,7.187257333,40.81753408,-88.03022061,-0.292902106,1.184759215,0.020798121,0.063732419,0.999,0.9995,0.7715,0.996,1,0.956,0.9925,1,0.971,0.5025,0.9995,0.152,0.129,0.0355,0.771,0.991,0.349,0.0065,0.977,1,1,1,1,1,1,0.0635,1,1
vrest-APD50-camax,0.875,0.75,0.8125,0.963636364,0.873015873,0.947916667,0.8,0.428571429,1,0.818181818,0.888888889,0.75,5.49997525,5.142819858,3.999988,0.220000858,0.571429,1.33E-06,0.8,0.6,0.727272727,0.148763149,0.966824645,0.791666667,0.793765834,55.12898873,152.9084812,117.5673158,-86.59660617,-88.03022061,287.2062878,0.000222565,0.020798121,64.31807536,3.76E-05,1,1,1,0.98,1,1,0.997,1,0.9875,0.99,1,0.972,0.8795,0.5655,0.859,0.987,0.0985,0.3915,0.9955,1,1,0.958,1,1,1,0.983,0.97,1
vrest-APD50-CaTD50,0.8125,0.6875,0.8125,0.945454545,0.825396825,0.9375,0.8,0.285714286,1,0.727272727,0.888888889,0.75,3.666656889,3.857117143,3.999988,0.244445368,0.714286,1.33E-06,0.727272727,0.444444444,0.727272727,0.224570339,0.947867299,0.75,3.627795472,20.59863889,37.53328855,18.0045748,14.67884732,-88.03022061,287.2062878,327.3555683,0.020798121,64.31807536,22.17761135,1,1,0.9995,0.9935,1,0.976,0.9955,1,0.9795,0.89,1,0.784,0.623,0.112,0.8345,0.996,0.0965,0.1275,0.9945,1,1,0.925,1,1,1,0.8155,0.998,1
vrest-APD50-CaTD90,0.875,0.75,0.8125,0.963636364,0.841269841,0.927083333,0.8,0.428571429,1,0.818181818,0.888888889,0.75,5.49997525,5.142819857,3.999988,0.220000858,0.571429,1.33E-06,0.8,0.6,0.727272727,0.178884952,0.962085308,0.791666667,-1.452425927,28.28103768,83.67965219,26.17564907,55.10999005,-88.03022061,287.2062878,768.6720229,0.020798121,64.31807536,46.44521373,1,1,1,0.9785,1,1,0.9965,1,0.9885,0.9895,1,0.981,0.882,0.0475,0.8585,0.99,0.101,0.4125,0.9975,1,1,0.9765,1,1,1,0.984,0.957,1
vrest-APD90-camax,0.8125,0.75,0.875,0.945454545,0.904761905,0.958333333,0.8,0.428571429,1,0.727272727,0.888888889,0.833333333,3.666656889,6.428522572,5.99997,0.220000858,0.571429,1.20E-06,0.769230769,0.6,0.8,0.143011753,0.966824645,0.791666667,3.083893979,21.21908544,57.81843024,41.73994463,-29.7842711,-88.03022061,364.2659437,0.000222565,0.020798121,92.85975461,3.76E-05,1,1,1,0.872,1,1,0.9995,1,0.9985,0.971,1,0.924,0.7575,0.8295,0.9155,0.905,0.217,0.179,1,1,1,0.9545,1,1,1,0.916,0.997,1
vrest-APD90-carest,0.8125,0.6875,0.875,0.872727273,0.825396825,0.979166667,0.8,0.428571429,1,0.818181818,0.888888889,0.833333333,4.3999813,3.857117143,5.99997,0.244445368,0.642857545,1.20E-06,0.727272727,0.545454545,0.8,0.190515636,0.933649289,0.75,-4.842102332,14.51545315,69.59265946,46.63442802,-53.13923538,-88.03022061,364.2659437,7.28E-05,0.020798121,92.85975461,3.84E-06,1,1,0.9995,0.8895,1,1,0.9995,1,0.9995,0.974,1,0.942,0.8455,0.8245,0.9185,0.9145,0.2885,0.2355,0.9995,1,1,0.0015,1,1,1,0.936,0.9835,0.996
vrest-APD90-CaTD50,0.8125,0.6875,0.8125,0.963636364,0.825396825,0.9375,1,0.285714286,1,0.727272727,1,0.75,3.666656889,285714.8705,3.999988,1.37E-06,0.714286,1.33E-06,0.769230769,0.444444444,0.727272727,0.222996221,0.943127962,0.833333333,2.083922992,16.25633424,31.66121828,13.8033481,14.43871328,-88.03022061,364.2659437,327.3555683,0.020798121,92.85975461,22.17761135,1,1,1,0.9835,1,0.964,0.996,1,0.9875,0.856,1,0.9035,0.5755,0.0025,0.886,0.991,0.081,0.0855,0.995,1,1,0.983,1,1,1,0.749,1,0.9995
vrest-APD90-CaTD90,0.875,0.75,0.8125,0.963636364,0.857142857,0.9375,0.8,0.428571429,1,0.818181818,0.888888889,0.75,5.49997525,5.142819858,3.999988,0.220000858,0.571429,1.33E-06,0.8,0.6,0.727272727,0.180115142,0.962085308,0.791666667,-1.950595432,23.06994889,73.45280852,21.56311657,50.26915523,-88.03022061,364.2659437,768.6720229,0.020798121,92.85975461,46.44521373,1,1,1,0.9495,1,1,0.998,1,0.996,0.988,1,0.9925,0.856,0.019,0.894,0.9645,0.104,0.3645,1,1,1,0.9865,1,1,1,0.9765,0.9725,0.9995
vrest-camax-CaTD50,0.8125,0.6875,0.8125,0.963636364,0.793650794,0.916666667,1,0.285714286,1,0.727272727,1,0.75,3.666656889,285715,3.999988,1.37E-06,0.714286,1.33E-06,0.769230769,0.444444444,0.727272727,0.23646767,0.924170616,0.833333333,0.088529676,7.698397709,10.38632633,9.146034793,13.59435911,-88.03028897,0.000222524,327.3362708,0.020895704,3.76E-05,22.17423484,1,1,1,0.994,1,0.8755,0.966,1,0.9755,0.566,1,0.9095,0.431,0,0.8905,0.9985,0.038,0.048,0.9335,1,1,0.998,1,1,1,0.4925,1,0.9845
vrest-camax-CaTD90,0.875,0.75,0.8125,0.963636364,0.841269841,0.916666667,0.8,0.428571429,1,0.818181818,0.888888889,0.75,5.49997525,5.142819857,3.999988,0.220000858,0.571429,1.33E-06,0.8,0.6,0.727272727,0.182007599,0.957345972,0.791666667,-2.162682821,26.88708105,82.7349763,32.0018641,91.09560983,-88.03028897,0.000222524,768.6722188,0.020895704,3.76E-05,46.4212134,1,1,1,0.9795,1,1,0.9975,1,0.988,0.989,1,0.982,0.8785,0.002,0.849,0.9905,0.1025,0.4275,0.999,1,1,0.9845,1,1,1,0.9845,0.941,0.9995
vrest-carest-CaTD50,0.875,0.6875,0.8125,0.981818182,0.777777778,0.875,1,0.285714286,1,0.818181818,1,0.75,5.49997525,285715.168,3.999988,1.22E-06,0.714286,1.33E-06,0.833333333,0.444444444,0.727272727,0.228505222,0.909952607,0.833333333,-0.087940917,5.485643295,5.002728264,8.815046629,9.55507948,-88.03028897,7.28E-05,327.3362708,0.020895704,3.85E-06,22.17423484,1,1,1,0.983,0.9935,0.7875,0.9275,1,0.97,0.6495,1,0.9925,0.453,0,0.9275,0.996,0.0035,0.077,0.7985,1,1,1,1,1,1,0.4165,1,0.9535
vrest-carest-CaTD90,0.875,0.75,0.8125,0.963636364,0.873015873,0.9375,0.8,0.428571429,1,0.818181818,0.888888889,0.75,5.49997525,6.428522572,3.999988,0.220000858,0.571429,1.33E-06,0.8,0.6,0.727272727,0.165032147,0.966824645,0.791666667,7.199605108,32.25721492,67.49699667,41.42289618,73.90365112,-88.03028897,7.28E-05,768.6722188,0.020895704,3.85E-06,46.4212134,1,1,1,0.9615,1,1,0.9985,1,0.989,0.9895,1,0.956,0.8255,0.346,0.844,0.979,0.115,0.391,0.9975,1,1,0.9995,1,1,1,0.9795,0.958,1
vrest-max_dv-camax,0.8125,0.75,0.875,0.963636364,0.920634921,0.979166667,1,0.428571429,1,0.727272727,1,0.833333333,3.666656889,285715.5413,5.99997,1.37E-06,0.571429,1.20E-06,0.769230769,0.6,0.8,0.175377765,0.957345972,0.875,0.603035286,9.808755672,27.98540877,16.36621157,-14.69497087,-88.03022061,-0.292902106,0.000222565,0.020798121,0.063732419,3.76E-05,1,1,1,0.778,1,0.95,1,1,0.9675,0.732,1,0.964,0.442,0.8615,0.8715,0.761,0.1485,0.017,0.9995,1,1,0.988,1,1,1,0.609,1,0.9915
vrest-max_dv-carest,0.75,0.6875,0.875,0.872727273,0.857142857,0.979166667,0.8,0.428571429,1,0.727272727,0.888888889,0.833333333,2.933326244,3.857117143,5.99997,0.275000997,0.642857545,1.20E-06,0.666666667,0.545454545,0.8,0.197772329,0.938388626,0.75,0.223617914,12.26364072,46.32258206,20.64207982,-31.22302242,-88.03022061,-0.292902106,7.28E-05,0.020798121,0.063732419,3.84E-06,1,0.998,1,0.6955,1,0.9935,1,1,0.997,0.9165,1,0.9345,0.623,0.957,0.807,0.7325,0.4565,0.056,0.99,1,1,0.078,1,1,1,0.8045,1,0.988
vrest-max_dv-CaTD50,0.8125,0.6875,0.8125,0.963636364,0.80952381,0.916666667,1,0.285714286,1,0.727272727,1,0.75,3.666656889,285715.0275,3.999988,1.37E-06,0.714286,1.33E-06,0.769230769,0.444444444,0.727272727,0.233855739,0.933649289,0.833333333,0.143017452,9.402335608,19.08897617,6.949424684,9.624615937,-88.03022061,-0.292902106,327.3555683,0.020798121,0.063732419,22.17761135,1,1,1,0.975,1,0.9125,0.9945,1,0.976,0.6425,1,0.9555,0.432,0,0.8885,0.9795,0.052,0.032,0.9885,1,1,0.996,1,1,1,0.5745,1,0.9875
