Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Mean_1,Mean_2,Mean_3,Mean_4,SD_1,SD_2,SD_3,SD_4,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
vmax-vrest-APD90-CaTD90,0.875,0.6875,0.8125,0.963636364,0.873015873,0.9375,0.8,0.285714286,1,0.818181818,0.888888889,0.75,5.49997525,5.142819858,3.999988,0.220000858,0.714286,1.33E-06,0.8,0.444444444,0.727272727,0.182228374,0.962085308,0.791666667,2.474228877,28.84244575,15.95542329,67.02431576,22.1029445,50.69513544,40.81753408,-88.03022061,364.2659437,768.6720229,1.184759215,0.020798121,92.85975461,46.44521373,1,1,1,0.971,1,0.999,0.997,1,0.9835,0.9915,1,0.943,0.7125,0.1775,0.821,0.987,0.133,0.426,0.996,1,1,1,1,1,1,0.981,0.955,1
vmax-vrest-camax-CaTD50,0.8125,0.6875,0.8125,0.927272727,0.746031746,0.916666667,0.8,0.285714286,1,0.818181818,0.888888889,0.75,4.3999813,3.857117143,3.999988,0.244445368,0.714286,1.33E-06,0.727272727,0.444444444,0.727272727,0.241785186,0.914691943,0.75,0.454402729,9.560946305,-5.773932962,19.59264817,8.665996088,16.37651533,40.79794507,-88.03028897,0.000222524,327.3362708,1.331177912,0.020895704,3.76E-05,22.17423484,1,1,1,0.9825,1,0.897,0.9845,1,0.9825,0.6885,1,0.9885,0.655,0,0.925,0.99,0.0355,0.054,0.978,1,1,0.566,0.9965,1,1,0.6125,0.9995,0.984
vmax-vrest-camax-CaTD90,0.8125,0.6875,0.8125,0.963636364,0.857142857,0.927083333,0.8,0.285714286,1,0.818181818,0.888888889,0.75,4.3999813,3.857117143,3.999988,0.220000858,0.714286,1.33E-06,0.769230769,0.444444444,0.727272727,0.183868347,0.962085308,0.75,3.927174679,33.4805918,16.43565588,75.54796886,30.81668655,87.18767245,40.79794507,-88.03028897,0.000222524,768.6722188,1.331177912,0.020895704,3.76E-05,46.4212134,1,1,0.999,0.9845,1,1,0.997,1,0.9745,0.995,0.9995,0.9175,0.7885,0.1295,0.786,0.9955,0.1435,0.5135,0.9965,1,1,1,1,1,1,0.989,0.8735,1
vmax-vrest-carest-CaTD50,0.875,0.6875,0.8125,0.963636364,0.777777778,0.875,1,0.428571429,1,0.818181818,1,0.75,5.49997525,285715.0981,3.999988,1.22E-06,0.642857545,1.33E-06,0.833333333,0.545454545,0.727272727,0.211943207,0.909952607,0.833333333,0.280098426,7.144488883,-4.382255279,12.81260447,8.203272743,12.08602487,40.79794507,-88.03028897,7.28E-05,327.3362708,1.331177912,0.020895704,3.85E-06,22.17423484,1,1,1,0.9665,0.997,0.818,0.9675,1,0.9705,0.7395,1,1,0.694,0,0.948,0.972,0.001,0.085,0.9135,1,1,0.985,0.987,1,1,0.632,0.9995,0.96
vmax-vrest-carest-CaTD90,0.875,0.6875,0.8125,0.963636364,0.873015873,0.9375,0.8,0.428571429,1,0.818181818,0.888888889,0.75,5.49997525,5.142819858,3.999988,0.220000858,0.642857545,1.33E-06,0.8,0.545454545,0.727272727,0.167210129,0.966824645,0.791666667,8.671813367,33.95704162,8.107025588,62.82140294,40.95755294,73.30146843,40.79794507,-88.03028897,7.28E-05,768.6722188,1.331177912,0.020895704,3.85E-06,46.4212134,1,1,0.9995,0.968,1,0.999,0.997,1,0.9775,0.992,1,0.931,0.7645,0.4055,0.815,0.989,0.122,0.4285,0.994,1,1,1,1,1,1,0.9795,0.946,1
vmax-vrest-CaTD50-CaTD90,0.8125,0.6875,0.8125,0.945454545,0.80952381,0.9375,0.6,0.571428571,1,0.909090909,0.777777778,0.75,6.599938401,2.5714215,3.999988,0.440000616,0.551020985,1.33E-06,0.666666667,0.615384615,0.727272727,0.255915993,0.952606635,0.791666667,1.465372571,16.82336813,11.61638287,50.00935477,-5.775726743,52.64076338,40.79794507,-88.03028897,327.3362708,768.6722188,1.331177912,0.020895704,22.17423484,46.4212134,1,1,1,0.8,1,0.9875,0.996,1,0.9905,1,1,1,0.9605,0.001,0.837,0.949,0.098,1,0.9735,1,0.0015,1,1,1,1,1,0.093,0.9955
vmax-vrest-max_dv-camax,0.8125,0.6875,0.8125,0.963636364,0.920634921,0.958333333,1,0.285714286,1,0.727272727,1,0.75,3.666656889,285715.2742,3.999988,1.37E-06,0.714286,1.33E-06,0.769230769,0.444444444,0.727272727,0.196756874,0.957345972,0.833333333,0.193794622,9.365047042,2.450906261,24.58456855,16.36309489,-14.06523748,40.81753408,-88.03022061,-0.292902106,0.000222565,1.184759215,0.020798121,0.063732419,3.76E-05,1,1,1,0.8525,1,0.936,0.999,1,0.9665,0.7,1,0.9535,0.373,0.617,0.861,0.847,0.133,0.0175,0.9995,1,1,0.9995,1,1,1,0.579,1,0.9885
vmax-vrest-max_dv-carest,0.8125,0.75,0.875,0.945454545,0.904761905,0.979166667,0.8,0.428571429,1,0.727272727,0.888888889,0.833333333,3.666656889,5.142819857,5.99997,0.244445368,0.571429,1.20E-06,0.727272727,0.6,0.8,0.167015542,0.957345972,0.791666667,-0.511042246,12.73285422,6.581920484,42.69254433,23.14281686,-32.92458144,40.81753408,-88.03022061,-0.292902106,7.28E-05,1.184759215,0.020798121,0.063732419,3.84E-06,1,0.9995,1,0.8715,1,0.9655,0.9995,1,0.9925,0.868,1,0.89,0.4425,0.9965,0.7875,0.8695,0.303,0.05,0.9975,1,1,0.9305,1,1,1,0.7965,1,0.9715
vmax-vrest-max_dv-CaTD50,0.8125,0.6875,0.8125,0.927272727,0.777777778,0.916666667,0.8,0.285714286,1,0.818181818,0.888888889,0.75,4.3999813,3.857117143,3.999988,0.244445368,0.714286,1.33E-06,0.727272727,0.444444444,0.727272727,0.235366284,0.924170616,0.75,0.473828318,11.09858571,-5.52361146,27.85155164,6.426649849,12.58327198,40.81753408,-88.03022061,-0.292902106,327.3555683,1.184759215,0.020798121,0.063732419,22.17761135,1,1,1,0.9505,1,0.9245,0.996,1,0.9765,0.73,1,0.9925,0.623,0,0.9295,0.9505,0.0465,0.0405,0.9955,1,1,0.6995,1,1,1,0.647,1,0.9855
vrest-APD50-APD90-camax,0.8125,0.75,0.8125,0.927272727,0.825396825,0.916666667,0.6,0.428571429,0.75,0.818181818,0.777777778,0.833333333,4.3999813,3.21427575,4.499979,0.4000006,0.571429,0.272728066,0.666666667,0.6,0.727272727,0.147073489,0.952606635,0.666666667,5.535650195,43.20842209,97.1091753,136.5086815,-66.98779899,-46.77713461,-88.03022061,287.2062878,364.2659437,0.000222565,0.020798121,64.31807536,92.85975461,3.76E-05,1,1,0.9895,0.9945,0.957,0.9985,0.9955,1,0.954,0.9955,0.9995,0.9105,0.9455,0.9365,0.7765,0.9995,0.129,0.5685,0.994,1,1,0.7165,1,1,1,0.9935,0.8335,1
