Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Beta_6,Mean_1,Mean_2,Mean_3,Mean_4,Mean_5,Mean_6,SD_1,SD_2,SD_3,SD_4,SD_5,SD_6,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
qNet-APD50-APD90-carest-CaTD50-CaTD90,0.8125,0.6875,0.8125,0.854545455,0.80952381,0.9375,0.6,0.571428571,0.75,0.909090909,0.777777778,0.75,6.599938401,2.5714215,3.999988,0.440000616,0.48214344,0.272728066,0.666666667,0.666666667,0.727272727,0.209503043,0.928909953,0.666666667,-29.50882181,9.329724552,-74.67022919,-124.3881518,103.0031031,41.45480145,-49.86666586,102.5272783,63.95253604,287.2062878,364.2659437,7.28E-05,327.3555683,768.6720229,15.85634121,64.31807536,92.85975461,3.84E-06,22.17761135,46.44521373,1,1,0.9705,0.996,1,1,0.9955,1,0.9545,0.9985,0.998,0.9865,0.999,0.99,0.834,0.999,0.1525,0.8515,0.998,1,0.9885,0,1,1,1,0.999,0.2575,1
qNet-APD50-max_dv-camax-carest-CaTD90,0.8125,0.625,0.75,0.872727273,0.761904762,0.916666667,0.6,0.428571429,0.75,0.909090909,0.777777778,0.666666667,6.599938401,1.92856725,2.999994,0.440000616,0.734694219,0.30000084,0.666666667,0.5,0.666666667,0.245662166,0.928909953,0.666666667,-8.206916691,32.79737197,-72.22797876,-148.6205342,38.58516536,81.97121263,24.33843164,105.5481774,63.95253604,287.2062878,-0.292902106,0.000222565,7.28E-05,768.6720229,15.85634121,64.31807536,0.063732419,3.76E-05,3.84E-06,46.44521373,1,1,0.9665,0.995,1,1,0.9915,1,0.932,0.9985,0.996,0.9825,0.9675,0.1375,0.746,1,0.129,0.6105,0.996,1,1,0,1,1,1,0.9975,0.7545,1
qNet-APD50-max_dv-carest-CaTD50-CaTD90,0.8125,0.6875,0.8125,0.872727273,0.793650794,0.9375,0.6,0.571428571,0.75,0.909090909,0.666666667,0.833333333,6.599938401,2.5714215,4.499979,0.440000616,0.551020985,0.30000084,0.666666667,0.615384615,0.666666667,0.192139606,0.933649289,0.666666667,-33.6450061,8.575974205,-76.29249061,-88.8103333,44.29721511,75.2516967,-78.41529653,164.2432565,63.95253604,287.2062878,-0.292902106,7.28E-05,327.3555683,768.6720229,15.85634121,64.31807536,0.063732419,3.84E-06,22.17761135,46.44521373,0.9995,1,0.8465,0.996,1,1,0.993,1,0.947,0.9985,0.9965,0.988,0.9685,1,0.7515,0.9995,0.171,0.594,0.9975,1,1,0,1,1,1,0.9985,0.7905,1
qNet-dvdtmax-APD50-APD90-camax-carest,0.8125,0.75,0.8125,0.854545455,0.825396825,0.9375,0.6,0.571428571,1,0.909090909,0.777777778,0.75,6.599938401,3.21427575,3.999988,0.440000616,0.48214344,1.33E-06,0.666666667,0.666666667,0.727272727,0.221360286,0.91943128,0.75,-13.14633274,25.99774087,-75.53814882,-0.652190237,-129.3854261,108.7562488,0.85555842,1.437603321,63.95253604,72.03390709,287.2062878,364.2659437,0.000222565,7.28E-05,15.85634121,2.416227739,64.31807536,92.85975461,3.76E-05,3.84E-06,1,1,0.9895,0.9965,0.9995,1,0.9955,1,0.95,0.9985,1,0.979,0.997,0.939,0.8325,0.999,0.1345,0.7685,0.996,1,1,0,1,1,1,0.998,0.4915,1
qNet-dvdtmax-APD50-APD90-camax-CaTD50,0.8125,0.6875,0.8125,0.854545455,0.825396825,0.9375,0.6,0.571428571,1,0.909090909,0.777777778,0.75,6.599938401,2.571423857,3.999988,0.440000616,0.551020985,1.33E-06,0.666666667,0.615384615,0.727272727,0.219782438,0.91943128,0.75,-11.79069006,28.00009857,-77.07845766,0.277953004,-137.9001059,111.8145054,5.98408621,3.181435215,63.95253604,72.03390709,287.2062878,364.2659437,0.000222565,327.3555683,15.85634121,2.416227739,64.31807536,92.85975461,3.76E-05,22.17761135,1,1,0.99,0.996,0.9995,1,0.9955,1,0.9495,0.9985,1,0.9795,0.997,0.91,0.83,0.999,0.1355,0.7805,0.9965,1,1,0,1,1,1,0.9985,0.463,1
qNet-dvdtmax-APD50-APD90-camax-CaTD90,0.8125,0.6875,0.8125,0.854545455,0.80952381,0.9375,0.6,0.571428571,1,0.909090909,0.777777778,0.75,6.599938401,2.5714215,3.999988,0.440000616,0.551020985,1.50E-06,0.666666667,0.615384615,0.727272727,0.218731284,0.924170616,0.75,-11.69933089,27.09790659,-75.10410197,3.832439756,-141.8366548,105.9029214,20.14166881,20.19133222,63.95253604,72.03390709,287.2062878,364.2659437,0.000222565,768.6720229,15.85634121,2.416227739,64.31807536,92.85975461,3.76E-05,46.44521373,1,1,0.984,0.996,1,1,0.995,1,0.9465,0.999,1,0.9795,0.998,0.84,0.826,0.999,0.142,0.8355,0.9975,1,0.9865,0,1,1,1,0.9995,0.304,1
qNet-dvdtmax-APD50-APD90-carest-CaTD50,0.8125,0.75,0.8125,0.854545455,0.825396825,0.9375,0.6,0.571428571,1,0.909090909,0.777777778,0.75,6.599938401,3.21427575,3.999988,0.440000616,0.48214344,1.33E-06,0.666666667,0.666666667,0.727272727,0.219981049,0.91943128,0.75,-13.12452634,26.23686021,-75.88718124,-0.787110733,-130.2363124,109.5416409,2.552505363,-0.00434707,63.95253604,72.03390709,287.2062878,364.2659437,7.28E-05,327.3555683,15.85634121,2.416227739,64.31807536,92.85975461,3.84E-06,22.17761135,1,1,0.99,0.9965,0.9995,1,0.9955,1,0.95,0.9985,1,0.9815,0.997,0.939,0.8325,0.999,0.134,0.769,0.996,1,1,0,1,1,1,0.998,0.491,1
qNet-dvdtmax-APD50-APD90-carest-CaTD90,0.8125,0.6875,0.8125,0.854545455,0.825396825,0.9375,0.6,0.571428571,1,0.909090909,0.777777778,0.75,6.599938401,2.5714215,3.999988,0.440000616,0.551020985,1.33E-06,0.666666667,0.615384615,0.727272727,0.211256185,0.924170616,0.75,-12.00714644,26.7949247,-74.45500329,-0.493508806,-130.1467423,107.0195257,7.135739796,3.60267135,63.95253604,72.03390709,287.2062878,364.2659437,7.28E-05,768.6720229,15.85634121,2.416227739,64.31807536,92.85975461,3.84E-06,46.44521373,1,1,0.9905,0.996,1,1,0.9955,1,0.951,0.9985,1,0.983,0.997,0.941,0.832,0.999,0.133,0.787,0.996,1,1,0,1,1,1,0.9985,0.463,1
qNet-dvdtmax-APD50-max_dv-camax-CaTD90,0.8125,0.6875,0.75,0.818181818,0.825396825,0.90625,0.6,0.428571429,0.75,0.909090909,0.777777778,0.666666667,6.599938401,2.5714215,2.999992,0.440000616,0.642857545,0.333334222,0.666666667,0.571428571,0.6,0.260704382,0.909952607,0.666666667,-12.57078703,30.35885899,-78.51456201,-6.64653986,-131.3595685,41.66245673,67.31156645,67.46412745,63.95253604,72.03390709,287.2062878,-0.292902106,0.000222565,768.6720229,15.85634121,2.416227739,64.31807536,0.063732419,3.76E-05,46.44521373,0.9995,1,0.879,0.996,1,1,0.989,1,0.922,0.9985,0.9945,0.978,0.9795,0.744,0.7485,1,0.1515,0.608,0.998,1,1,0,1,1,1,0.998,0.726,1
qNet-dvdtmax-APD90-camax-carest-CaTD50,0.8125,0.625,0.75,0.909090909,0.746031746,0.875,0.8,0.285714286,1,0.818181818,0.888888889,0.666666667,4.3999813,2.571414429,2.999994,0.275000997,0.80357165,1.50E-06,0.727272727,0.4,0.666666667,0.273765988,0.928909953,0.708333333,-23.04804528,46.64943776,-182.1716016,12.48759906,-5.917328473,-81.10208034,20.95010573,-29.66418523,63.95253604,72.03390709,364.2659437,0.000222565,7.28E-05,327.3555683,15.85634121,2.416227739,92.85975461,3.76E-05,3.84E-06,22.17761135,1,1,0.998,0.9985,1,0.9995,0.974,1,0.789,0.8075,0.977,0.9235,0.8775,0,0.7085,1,0.014,0.3775,0.673,1,1,0.0365,1,1,1,1,0.974,0.916
qNet-dvdtmax-APD90-carest-CaTD50-CaTD90,0.8125,0.6875,0.8125,0.927272727,0.777777778,0.916666667,0.6,0.428571429,0.75,0.818181818,0.666666667,0.75,4.3999813,2.142853714,3.999988,0.440000616,0.642857545,0.30000084,0.666666667,0.545454545,0.666666667,0.186391132,0.957345972,0.666666667,-34.96936943,4.265415705,-60.86152162,44.46224842,19.66311822,42.55999699,-97.76961037,162.1926455,63.95253604,72.03390709,364.2659437,7.28E-05,327.3555683,768.6720229,15.85634121,2.416227739,92.85975461,3.84E-06,22.17761135,46.44521373,0.9985,1,0.3855,0.9985,1,1,0.975,1,0.8595,0.9975,0.989,0.7765,0.9625,1,0.7395,1,0.219,0.772,0.9955,1,0.99,0.8595,1,1,1,0.9965,0.523,0.9995
