Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Mean_1,Mean_2,Mean_3,Mean_4,Mean_5,SD_1,SD_2,SD_3,SD_4,SD_5,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
qNet-dvdtmax-APD90-camax-carest,0.75,0.5625,0.8125,0.836363636,0.714285714,0.916666667,0.6,0.428571429,0.75,0.727272727,0.666666667,0.75,2.933326244,1.285713429,3.999988,0.488889514,0.857143071,0.30000084,0.6,0.461538462,0.666666667,0.256789442,0.909952607,0.7,0.475282084,37.80569484,-50.88250283,-7.72139276,-4.883648085,-30.5277558,63.14132944,63.95253604,72.03390709,364.2659437,0.000222565,7.28E-05,15.85634121,2.416227739,92.85975461,3.76E-05,3.84E-06,0.999,1,0.624,0.9985,1,0.9995,0.969,1,0.861,0.9945,0.9905,0.7585,0.969,0.6155,0.749,1,0.1325,0.624,0.9815,1,1,0,1,1,1,0.994,0.6975,1
qNet-dvdtmax-APD90-camax-CaTD50,0.8125,0.625,0.8125,0.854545455,0.761904762,0.90625,0.6,0.428571429,0.75,0.818181818,0.666666667,0.75,4.3999813,1.92856725,3.999988,0.440000616,0.642857679,0.30000084,0.666666667,0.545454545,0.666666667,0.222827321,0.924170616,0.7,-30.57382551,48.84181407,-125.8549944,29.01318186,38.58895989,-29.29425261,-36.19862839,63.95253604,72.03390709,364.2659437,0.000222565,327.3555683,15.85634121,2.416227739,92.85975461,3.76E-05,22.17761135,0.9995,1,0.6745,0.9985,1,0.9995,0.977,1,0.865,0.9945,0.9905,0.8195,0.9695,0.996,0.757,1,0.128,0.6285,0.986,1,1,0,1,1,1,0.997,0.7215,1
qNet-dvdtmax-APD90-carest-CaTD50,0.75,0.625,0.8125,0.854545455,0.746031746,0.90625,0.6,0.428571429,0.75,0.818181818,0.666666667,0.75,3.29998735,1.714283571,3.999988,0.440000616,0.642857679,0.30000084,0.666666667,0.545454545,0.666666667,0.228852105,0.91943128,0.7,-16.71415631,20.85570727,-58.43164996,19.72210315,19.48399842,-19.54568823,-17.1125576,63.95253604,72.03390709,364.2659437,7.28E-05,327.3555683,15.85634121,2.416227739,92.85975461,3.84E-06,22.17761135,0.999,1,0.6025,0.9985,1,0.9995,0.973,1,0.867,0.995,0.9905,0.8095,0.9715,0.987,0.764,1,0.1425,0.6555,0.991,1,1,0,1,1,1,0.994,0.673,0.9995
qNet-dvdtmax-APD90-CaTD50-CaTD90,0.8125,0.625,0.8125,0.872727273,0.73015873,0.916666667,0.6,0.428571429,0.75,0.818181818,0.666666667,0.75,4.3999813,1.714283571,3.999988,0.440000616,0.642857679,0.30000084,0.666666667,0.545454545,0.666666667,0.229622232,0.933649289,0.7,-26.54983935,12.67290293,-61.91146108,27.60883915,22.6125122,-50.86629028,62.72045119,63.95253604,72.03390709,364.2659437,327.3555683,768.6720229,15.85634121,2.416227739,92.85975461,22.17761135,46.44521373,0.999,1,0.51,0.9985,1,0.9995,0.9745,1,0.8675,0.9965,0.99,0.7985,0.972,1,0.756,1,0.1685,0.689,0.9945,1,1,0.0065,1,1,1,0.996,0.6375,0.9995
qNet-dvdtmax-max_dv-camax-carest,0.75,0.5625,0.8125,0.818181818,0.714285714,0.916666667,0.6,0.285714286,0.75,0.727272727,0.666666667,0.75,2.933326244,1.285713429,3.999988,0.488889514,0.857143071,0.30000084,0.6,0.4,0.666666667,0.265826399,0.909952607,0.7,1.67225664,39.01515195,-50.56547413,-7.63400699,-3.688653936,-33.24932941,67.87163215,63.95253604,72.03390709,-0.292902106,0.000222565,7.28E-05,15.85634121,2.416227739,0.063732419,3.76E-05,3.84E-06,0.999,1,0.61,0.9985,1,0.9995,0.9685,1,0.8545,0.9945,0.9905,0.7415,0.972,0.4955,0.749,1,0.1365,0.652,0.9825,1,1,0,1,1,1,0.994,0.644,1
qNet-dvdtmax-max_dv-CaTD50-CaTD90,0.8125,0.625,0.75,0.854545455,0.746031746,0.91640625,0.6,0.428571429,0.75,0.818181818,0.666666667,0.75,4.3999813,1.92856725,2.999992,0.440000616,0.642857679,0.333334222,0.666666667,0.545454545,0.6,0.233934949,0.91943128,0.7,-24.63950825,14.61151597,-62.20642936,16.44667079,11.48723751,-40.59249019,48.13269103,63.95253604,72.03390709,-0.292902106,327.3555683,768.6720229,15.85634121,2.416227739,0.063732419,22.17761135,46.44521373,0.999,1,0.507,0.9985,1,0.9995,0.9745,1,0.8705,0.9965,0.9905,0.861,0.969,1,0.747,1,0.153,0.63,0.993,1,1,0,1,1,1,0.9945,0.7215,0.9995
qNet-dvdtmax-camax-carest-CaTD50,0.75,0.5625,0.75,0.818181818,0.714285714,0.90625,0.6,0.428571429,0.75,0.727272727,0.666666667,0.75,2.933326244,1.285713429,2.999992,0.488889514,0.857143071,0.333334222,0.6,0.461538462,0.6,0.278137361,0.90521327,0.7,-0.831605625,37.28305298,-53.88643485,-7.895229163,-39.45149523,65.82745315,-6.026501118,63.97825074,72.02405995,0.000222524,7.28E-05,327.3362708,15.86819615,2.434174718,3.76E-05,3.85E-06,22.17423484,0.999,1,0.561,0.9985,1,0.9995,0.97,1,0.8605,0.995,0.989,0.782,0.978,0.376,0.748,1,0.145,0.6805,0.984,1,1,0,1,1,1,0.996,0.6075,1
qNet-dvdtmax-camax-carest-CaTD90,0.75,0.625,0.75,0.818181818,0.73015873,0.90625,0.6,0.428571429,0.75,0.727272727,0.666666667,0.75,2.933326244,1.714283571,2.999992,0.488889514,0.734694219,0.333334222,0.6,0.5,0.6,0.25936195,0.909952607,0.7,-1.071435749,36.55730034,-52.77676636,-7.534998715,-32.70256768,54.34603484,-8.664006864,63.97825074,72.02405995,0.000222524,7.28E-05,768.6722188,15.86819615,2.434174718,3.76E-05,3.85E-06,46.4212134,0.999,1,0.6285,0.9985,1,0.9995,0.969,1,0.866,0.995,0.99,0.78,0.973,0.657,0.753,1,0.132,0.638,0.983,1,1,0,1,1,1,0.9945,0.681,1
qNet-dvdtmax-camax-CaTD50-CaTD90,0.8125,0.625,0.75,0.890909091,0.714285714,0.90625,0.6,0.428571429,0.75,0.818181818,0.666666667,0.75,4.3999813,1.714283571,2.999992,0.440000616,0.642857679,0.333334222,0.666666667,0.545454545,0.6,0.239369995,0.943127962,0.7,-19.63102558,19.34075817,-58.21920117,31.99514956,22.37162189,-39.17775628,71.05427831,63.97825074,72.02405995,0.000222524,327.3362708,768.6722188,15.86819615,2.434174718,3.76E-05,22.17423484,46.4212134,0.999,1,0.4185,0.9985,1,1,0.9625,1,0.839,0.997,0.985,0.8125,0.982,0.966,0.7275,1,0.1625,0.8315,0.9895,1,0.99,0.1335,1,1,1,0.997,0.3825,1
qNet-vmax-vrest-APD90-max_dv,0.75,0.6875,0.75,0.818181818,0.793650794,0.90625,0.6,0.428571429,0.75,0.818181818,0.666666667,0.75,3.29998735,2.142853714,2.999992,0.488889514,0.642857545,0.333334222,0.6,0.571428571,0.6,0.278290073,0.90521327,0.7,-4.956710718,36.88974415,-53.6881845,-3.440222751,25.80270263,7.478344802,-3.548259844,63.95253604,40.81753408,-88.03022061,364.2659437,-0.292902106,15.85634121,1.184759215,0.020798121,92.85975461,0.063732419,0.999,1,0.6485,0.998,1,1,0.985,1,0.893,0.996,0.991,0.8245,0.989,0.9435,0.767,1,0.172,0.7785,0.9965,1,0.9955,0,1,1,1,0.995,0.3775,1
