Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Beta_6,Mean_1,Mean_2,Mean_3,Mean_4,Mean_5,Mean_6,SD_1,SD_2,SD_3,SD_4,SD_5,SD_6,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
qNet-dvdtmax-camax-carest-CaTD50-CaTD90,0.875,0.625,0.75,0.945454545,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,1.92856725,2.999992,0.4000006,0.642857679,0.333334222,0.75,0.571428571,0.6,0.257893806,0.91943128,0.733333333,-36.64440021,-3.086039873,-35.79738094,-2.309711055,-1.636522418,16.47397608,-40.91996769,75.13705473,64.09733802,72.39906799,0.000245491,7.48E-05,314.3122396,747.0841354,12.52235177,1.261624597,1.78E-05,9.00E-07,14.34918714,29.43244193,1,0.997,0.3305,1,1,1,0.9855,0.999,0.913,0.9915,0.9955,0.9965,0.939,0.0015,0.932,1,0.011,1,0.9925,1,0.991,0.8345,1,1,0.9995,1,0.0055,0.992
qNet-vmax-vrest-APD50-APD90-camax,0.8125,0.625,0.75,0.927272727,0.698412698,0.875,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.92856725,2.999992,0.440000616,0.642857679,0.333334222,0.666666667,0.545454545,0.6,0.224412931,0.933649289,0.733333333,-17.43871645,10.38387707,-60.21251743,5.40203625,-25.65776462,-171.4163126,145.0588848,17.8338762,64.09733802,41.22437831,-88.02084897,286.8620938,363.9871979,0.000245491,12.52235177,0.812209574,0.009432504,53.76993945,83.19192952,1.78E-05,1,1,0.547,1,1,0.9965,0.9945,1,0.9615,0.9865,1,0.9965,0.878,0.001,0.965,0.997,0.03,0.8165,0.9985,1,1,0.7505,1,1,1,0.995,0.536,0.9855
qNet-vmax-vrest-APD50-APD90-carest,0.8125,0.625,0.75,0.945454545,0.73015873,0.895833333,0.6,0.428571429,0.75,0.818181818,0.666666667,0.75,5.49997525,1.92856725,2.999992,0.440000616,0.642857679,0.333334222,0.666666667,0.545454545,0.6,0.22142284,0.928909953,0.733333333,-12.88703288,14.1608199,-10.86857826,-0.047060874,16.52652031,18.67164907,7.408768851,-1.742944618,64.09733802,41.22437831,-88.02084897,286.8620938,363.9871979,7.48E-05,12.52235177,0.812209574,0.009432504,53.76993945,83.19192952,9.00E-07,1,0.9995,0.522,1,1,0.996,0.996,1,0.9775,0.9825,1,0.9965,0.858,0.0015,0.947,0.9975,0.0395,0.7375,0.999,1,1,0.783,1,1,1,0.995,0.6675,0.98
qNet-vmax-vrest-APD50-APD90-CaTD50,0.8125,0.625,0.75,0.909090909,0.682539683,0.875,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,6.599938401,1.714283571,2.999992,0.440000616,0.642857679,0.333334222,0.666666667,0.571428571,0.6,0.24211025,0.924170616,0.733333333,-25.26739483,4.70403877,-67.36792142,10.26665903,-29.86616362,-162.8607166,169.5597173,-20.80688122,64.09733802,41.22437831,-88.02084897,286.8620938,363.9871979,314.3122396,12.52235177,0.812209574,0.009432504,53.76993945,83.19192952,14.34918714,1,0.9985,0.5035,1,1,0.999,0.9945,0.9975,0.9535,0.9895,1,0.9975,0.9075,0.0015,0.968,0.997,0.0255,0.8885,0.998,0.9995,1,0.762,1,0.859,1,0.998,0.3435,0.9905
qNet-vmax-vrest-APD50-APD90-CaTD90,0.8125,0.625,0.75,0.945454545,0.73015873,0.895833333,0.6,0.428571429,0.75,0.818181818,0.666666667,0.75,5.49997525,1.92856725,2.999992,0.440000616,0.642857679,0.333334222,0.666666667,0.545454545,0.6,0.220950558,0.933649289,0.733333333,-12.91058595,14.14224067,-11.11441099,-0.65234588,16.20914713,16.32348244,6.195304608,2.919993966,64.09733802,41.22437831,-88.02084897,286.8620938,363.9871979,747.0841354,12.52235177,0.812209574,0.009432504,53.76993945,83.19192952,29.43244193,1,0.9995,0.523,1,1,0.996,0.996,1,0.977,0.9825,1,0.9965,0.8575,0.0015,0.9475,0.9975,0.0405,0.732,0.999,1,1,0.7845,1,1,1,0.995,0.6775,0.9815
qNet-vmax-vrest-APD50-camax-CaTD50,0.8125,0.625,0.75,0.945454545,0.714285714,0.864583333,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.92856725,2.999992,0.4000006,0.642857679,0.333334222,0.727272727,0.545454545,0.6,0.232756695,0.928909953,0.733333333,-19.44376893,10.83376576,-15.6335379,1.845184698,16.4340742,58.68772861,-20.28658104,-20.28832796,64.09733802,41.22437831,-88.02084897,286.8620938,0.000245491,314.3122396,12.52235177,0.812209574,0.009432504,53.76993945,1.78E-05,14.34918714,1,0.997,0.4095,1,0.9995,0.999,0.996,0.9985,0.952,0.9885,1,0.997,0.905,0.002,0.938,0.9995,0.0265,0.8825,0.998,1,1,0.7945,1,1,1,1,0.446,0.9885
qNet-vmax-vrest-APD50-carest-CaTD90,0.8125,0.625,0.75,0.945454545,0.73015873,0.895833333,0.6,0.428571429,0.75,0.818181818,0.666666667,0.75,5.49997525,1.92856725,2.999992,0.4000006,0.642857679,0.333334222,0.727272727,0.545454545,0.6,0.221832144,0.933649289,0.733333333,-12.85471888,14.22197375,-9.057611031,-0.721809532,18.06442856,24.64249764,-0.609105042,3.081742593,64.09733802,41.22437831,-88.02084897,286.8620938,7.48E-05,747.0841354,12.52235177,0.812209574,0.009432504,53.76993945,9.00E-07,29.43244193,1,0.9995,0.514,1,1,0.996,0.9955,1,0.977,0.9825,1,0.9965,0.8595,0.0015,0.946,0.9975,0.04,0.74,0.999,1,1,0.788,1,1,1,0.9955,0.661,0.9815
qNet-vmax-vrest-APD90-camax-CaTD50,0.8125,0.625,0.75,0.945454545,0.73015873,0.864583333,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.92856725,2.999992,0.4000006,0.642857679,0.333334222,0.727272727,0.545454545,0.6,0.231276668,0.928909953,0.733333333,-21.72229977,8.491107314,-29.22240618,4.966391951,3.754787071,48.36253215,-16.39676035,-22.11810115,64.09733802,41.22437831,-88.02084897,363.9871979,0.000245491,314.3122396,12.52235177,0.812209574,0.009432504,83.19192952,1.78E-05,14.34918714,1,0.997,0.44,1,0.9995,0.999,0.9955,0.998,0.952,0.99,1,0.997,0.9065,0.002,0.9465,0.9995,0.0275,0.881,0.998,1,1,0.787,1,1,1,1,0.437,0.989
qNet-vmax-vrest-APD90-carest-CaTD90,0.8125,0.625,0.75,0.945454545,0.746031746,0.895833333,0.6,0.428571429,0.75,0.818181818,0.666666667,0.75,5.49997525,1.92856725,2.999992,0.440000616,0.642857679,0.333334222,0.666666667,0.545454545,0.6,0.22010043,0.933649289,0.733333333,-13.02182609,13.98791331,-15.16487767,-0.684155092,12.5602659,17.61732485,1.548433162,3.230190308,64.09733802,41.22437831,-88.02084897,363.9871979,7.48E-05,747.0841354,12.52235177,0.812209574,0.009432504,83.19192952,9.00E-07,29.43244193,1,0.9995,0.5315,1,1,0.996,0.9965,1,0.976,0.983,1,0.9965,0.854,0.0015,0.949,0.998,0.0405,0.7265,0.999,1,1,0.78,1,1,1,0.9945,0.6955,0.9805
qNet-vmax-vrest-max_dv-camax-carest,0.8125,0.625,0.75,0.927272727,0.682539683,0.854166667,0.6,0.428571429,0.75,0.909090909,0.666666667,0.75,6.599938401,1.714283571,2.999992,0.440000616,0.642857679,0.333334222,0.666666667,0.545454545,0.6,0.253175222,0.91943128,0.733333333,-17.10215623,12.38761368,-27.3954316,3.567990767,11.08736296,9.742984427,33.07364626,-25.87381504,64.09733802,41.22437831,-88.02084897,-0.298881594,0.000245491,7.48E-05,12.52235177,0.812209574,0.009432504,0.064078571,1.78E-05,9.00E-07,1,0.9985,0.3375,1,1,0.9965,0.99,1,0.925,0.985,0.998,0.996,0.9025,0.0025,0.935,1,0.018,0.9355,0.9975,0.9995,0.9695,0.8265,1,0.999,1,0.994,0.18,0.984
