Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Mean_1,Mean_2,Mean_3,Mean_4,SD_1,SD_2,SD_3,SD_4,azimilide,bepridil,disopyramide,dofetilide,ibutilide,quinidine,sotalol,vandetanib,astemizole,chlorpromazine,cisapride,clarithromycin,clozapine,domperidone,droperidol,ondansetron,pimozide,risperidone,terfenadine,diltiazem,loratadine,metoprolol,mexiletine,nifedipine,nitrendipine,ranolazine,tamoxifen,verapamil
vrest-APD50-camax-CaTD50,0.8125,0.625,0.8125,0.945454545,0.746031746,0.895833333,0.6,0.428571429,0.75,0.818181818,0.666666667,0.833333333,5.49997525,1.92856725,4.499979,0.440000616,0.642857679,0.30000084,0.666666667,0.545454545,0.666666667,0.22101353,0.933649289,0.733333333,-14.58677225,13.4213036,28.7555477,62.26380669,-20.23353269,-12.67895302,-88.02084897,286.8620938,0.000245491,314.3122396,0.009432504,53.76993945,1.78E-05,14.34918714,1,0.9945,0.493,1,1,0.999,0.996,1,0.9945,0.987,1,0.9985,0.8765,0.0035,0.9785,0.994,0.057,0.749,0.999,1,1,0.7705,1,1,1,0.9985,0.6155,0.9835
vrest-APD50-carest-CaTD50,0.8125,0.6875,0.8125,0.927272727,0.746031746,0.895833333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.833333333,6.599938401,2.142853714,4.499979,0.440000616,0.551020985,0.30000084,0.666666667,0.615384615,0.666666667,0.224665609,0.933649289,0.733333333,-14.9042518,13.56383931,33.45503523,54.29549343,-13.48643358,-6.295271326,-88.02084897,286.8620938,7.48E-05,314.3122396,0.009432504,53.76993945,9.00E-07,14.34918714,1,0.996,0.4855,1,1,0.999,0.9945,1,0.996,0.988,1,0.999,0.899,0.005,0.9845,0.992,0.0595,0.8965,0.998,1,1,0.7775,1,1,1,0.997,0.376,0.9855
vrest-APD50-carest-CaTD90,0.8125,0.6859375,0.8125,0.945454545,0.746031746,0.895833333,0.6,0.428571429,0.75,0.818181818,0.666666667,0.75,5.49997525,2.142853714,3.999988,0.440000616,0.642857679,0.30000084,0.666666667,0.545454545,0.666666667,0.21880944,0.933649289,0.733333333,-12.25931705,14.49936702,26.84434875,37.00743381,-4.849569388,2.38943898,-88.02084897,286.8620938,7.48E-05,747.0841354,0.009432504,53.76993945,9.00E-07,29.43244193,1,0.9985,0.533,1,1,0.996,0.995,1,0.9925,0.982,1,0.9965,0.8605,0.0025,0.972,0.995,0.052,0.7465,0.999,1,1,0.7795,1,1,1,0.995,0.6365,0.9795
vrest-APD50-CaTD50-CaTD90,0.8125,0.6875,0.8125,0.945454545,0.746031746,0.895833333,0.6,0.571428571,0.75,0.909090909,0.666666667,0.833333333,6.599938401,2.142853714,4.499979,0.4000006,0.551020985,0.30000084,0.727272727,0.615384615,0.666666667,0.242573324,0.933649289,0.733333333,-20.51086961,9.317170635,31.05951433,34.68186892,-14.74709992,35.09031461,-88.02084897,286.8620938,314.3122396,747.0841354,0.009432504,53.76993945,14.34918714,29.43244193,1,0.996,0.4495,1,1,1,0.996,1,0.9975,0.991,1,0.999,0.923,0.0035,0.985,0.9955,0.061,0.9615,0.9985,1,1,0.7865,1,1,1,1,0.028,0.9875
vrest-APD90-camax-CaTD50,0.8125,0.6875,0.8125,0.927272727,0.761904762,0.916666667,0.6,0.428571429,0.75,0.818181818,0.777777778,0.833333333,4.3999813,2.142853714,4.499979,0.4000006,0.642857545,0.30000084,0.727272727,0.545454545,0.666666667,0.211817219,0.938388626,0.733333333,-11.69109718,15.9111758,29.08594759,49.09128345,-12.12366019,-2.805327853,-88.02084897,363.9871979,0.000245491,314.3122396,0.009432504,83.19192952,1.78E-05,14.34918714,1,0.997,0.658,0.9975,1,0.9955,0.996,1,1,0.9795,1,0.9995,0.816,0.007,0.9935,0.984,0.095,0.5415,0.993,1,1,0.728,1,1,1,0.9855,0.8435,0.978
vrest-APD90-carest-CaTD50,0.8125,0.6875,0.8125,0.927272727,0.761904762,0.916666667,0.6,0.428571429,0.75,0.818181818,0.777777778,0.833333333,4.3999813,2.142853714,4.499979,0.440000616,0.642857545,0.30000084,0.666666667,0.545454545,0.666666667,0.210084815,0.938388626,0.733333333,-12.40176259,15.52025282,31.47237632,44.80919087,-8.203757025,0.430478166,-88.02084897,363.9871979,7.48E-05,314.3122396,0.009432504,83.19192952,9.00E-07,14.34918714,1,0.9975,0.6475,0.998,1,0.996,0.9955,1,1,0.9825,1,0.9995,0.8495,0.009,0.9935,0.985,0.095,0.6325,0.9925,1,1,0.73,1,1,1,0.9895,0.753,0.98
vrest-max_dv-camax-carest,0.8125,0.6875,0.8125,0.927272727,0.777777778,0.9375,0.8,0.428571429,0.75,0.818181818,0.777777778,0.833333333,4.3999813,2.5714215,4.499979,0.244445368,0.642857545,0.30000084,0.727272727,0.545454545,0.666666667,0.22523144,0.928909953,0.733333333,-7.345971572,11.67449957,24.66963322,28.14394631,6.540396544,-11.75614547,-88.02084897,-0.298881594,0.000245491,7.48E-05,0.009432504,0.064078571,1.78E-05,9.00E-07,1,0.9755,0.735,0.9725,1,0.9815,0.9985,1,0.997,0.9255,1,0.9985,0.6435,0.0225,0.985,0.914,0.105,0.306,0.968,1,1,0.6895,1,1,1,0.9355,0.987,0.931
vrest-max_dv-camax-CaTD50,0.8125,0.625,0.8125,0.927272727,0.777777778,0.9375,0.8,0.428571429,0.75,0.818181818,0.777777778,0.75,4.3999813,2.571414429,3.999988,0.244445368,0.734694219,0.30000084,0.727272727,0.5,0.666666667,0.24518284,0.91943128,0.733333333,-4.780073956,9.803696973,14.91206942,20.85323322,-4.063955895,0.130444565,-88.02084897,-0.298881594,0.000245491,314.3122396,0.009432504,0.064078571,1.78E-05,14.34918714,1,0.9985,0.782,0.9985,1,0.937,0.998,1,0.9935,0.8025,1,0.9935,0.492,0.0035,0.9695,0.944,0.0755,0.1245,0.9765,1,1,0.719,1,1,1,0.792,0.999,0.932
vrest-max_dv-carest-CaTD50,0.8125,0.6875,0.8125,0.927272727,0.777777778,0.9375,0.8,0.428571429,0.75,0.818181818,0.777777778,0.833333333,4.3999813,2.5714215,4.499979,0.244445368,0.714286,0.30000084,0.727272727,0.5,0.666666667,0.231904496,0.928909953,0.733333333,-6.093570992,11.51422928,20.26241671,25.04114481,-5.126642352,0.268593038,-88.02084897,-0.298881594,7.48E-05,314.3122396,0.009432504,0.064078571,9.00E-07,14.34918714,1,0.9915,0.743,0.9925,1,0.963,0.9985,1,0.997,0.8925,1,0.9975,0.5905,0.01,0.981,0.9395,0.0915,0.251,0.9755,1,1,0.707,1,1,1,0.9205,0.9945,0.921
vrest-max_dv-carest-CaTD90,0.875,0.6875,0.75,0.945454545,0.73015873,0.854166667,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,8.799914201,2.142853714,2.999992,0.4000006,0.551020985,0.333334222,0.75,0.615384615,0.6,0.245154586,0.928909953,0.733333333,-15.67800692,10.78882164,14.74364059,-17.03978381,27.50377197,54.76031745,-88.02084897,-0.298881594,7.48E-05,747.0841354,0.009432504,0.064078571,9.00E-07,29.43244193,1,1,0.4285,1,1,0.994,0.9915,1,0.9645,0.9845,0.999,0.992,0.9085,0,0.94,0.997,0.0295,0.996,0.9925,1,0.9995,0.868,1,1,1,0.997,0.028,0.984
